input,answer,predict,bleu
"あるいは 建築 デザイナー と 答え た 
","['い \r\n', '建築 デザイナー です か \r\n', 'あっ はい \r\n', 'はあ はい はい はい \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[9.590735201078444e-232, 9.590735201078444e-232, 9.590735201078444e-232, 9.590735201078444e-232]"
"あるいは 建築 デザイナー と 答え た 記憶 が 
",['へえ \r\n'],['あ そう な ん です ね \r\n'],[0.0]
"あるいは 建築 デザイナー と 答え た 記憶 が あり ます 
",['あ そう な ん です ね \r\n'],['あ そう な ん です ね \r\n'],[1.4959003140449574e-231]
"あるいは 竹馬 を 作っ て 
",['はい 竹馬 です か \r\n'],['はい あー \r\n'],[1.1200407237786664e-231]
"あれ から もう 四十 うー 四 年 経ち ます が あー 今 だに 忘れる こと が 
","['へえ \r\n', 'あー \r\n']","['はー \r\n', 'はー \r\n']","[0.0, 0.0]"
"あれ から もう 四十 うー 四 年 経ち ます が あー 今 だに 忘れる こと が 出来 ませ ん 
","['あー そう な ん です か \r\n', 'あー \r\n', 'おー そう な ん だ \r\n', 'はー はい \r\n', 'そう です \r\n', 'そー な ん です ねー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2022743357470003e-231, 1.2022743357470003e-231, 1.2022743357470003e-231, 1.2022743357470003e-231, 1.2022743357470003e-231, 1.2022743357470003e-231]"
"あれ から もう 四十 うー 四 年 経ち ます が あー 今 だに 忘れる こと が 出来 ませ ん 以上 です 
","['はー \r\n', 'ああ そう な ん です ね \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.424265706291585e-231, 1.424265706291585e-231]"
"あれ に 
",['そう です ね \r\n'],['あー \r\n'],[0.0]
"あれ に 乗り換え て 
",['乗り換え て \r\n'],['あー \r\n'],[0.0]
"あれ 何 本 か 
",['へー \r\n'],['あー \r\n'],[0.0]
"あれ 何 本 か あのー 
",['へー \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"あんまり 座っ て 
",['大変 です ね \r\n'],['うーん \r\n'],[0.0]
"あんまり 座っ て 何 か やる って こと も 
",['あー \r\n'],['うーん \r\n'],[0.0]
"あんまり 座っ て 何 か やる って こと も でき ない の で 
","['あー そう な ん です ね ー うーん \r\n', '辛い です ね \r\n', 'ねえ \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[9.443808709265313e-232, 9.443808709265313e-232, 9.443808709265313e-232]"
"あんまり 座っ て 何 か やる って こと も でき ない の で お陰 様 で それ が 治り まし た の で 
","['あ 良かっ た です ね \r\n', 'あっ 良かっ た です ねー \r\n', 'はい 良かっ た です ね \r\n', 'あ そう な ん です か \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.2126051460717642e-231, 1.2126051460717642e-231, 1.2126051460717642e-231, 1.2126051460717642e-231]"
"あんまり 座っ て 何 か やる って こと も でき ない の で お陰 様 で それ が 治り まし た の で 今 は 趣味 と いう より も もう 
",['それ も \r\n'],['あー \r\n'],[0.0]
"あんまり 座っ て 何 か やる って こと も でき ない の で お陰 様 で それ が 治り まし た の で 今 は 趣味 と いう より も もう できる だけ お 友達 に 会っ て 
",['良かっ た \r\n'],['うーん \r\n'],[0.0]
"あんまり 座っ て 何 か やる って こと も でき ない の で お陰 様 で それ が 治り まし た の で 今 は 趣味 と いう より も もう できる だけ お 友達 に 会っ て お しゃべり し たり 
",['ああ \r\n'],['あー \r\n'],[0.0]
"あんまり 座っ て 何 か やる って こと も でき ない の で お陰 様 で それ が 治り まし た の で 今 は 趣味 と いう より も もう できる だけ お 友達 に 会っ て お しゃべり し たり ご飯 食べ たり あとー 
","['いい です ね うーん \r\n', 'そう だ ね うん \r\n', 'んー そう 楽しい \r\n', 'そう な ん です ね ええ ええ \r\n']","['そう です ね \r\n', 'そう です ね \r\n', 'そう です ね \r\n', 'そう です ね \r\n']","[1.2422382280456484e-231, 1.2422382280456484e-231, 1.2422382280456484e-231, 1.2422382280456484e-231]"
"あんまり 座っ て 何 か やる って こと も でき ない の で お陰 様 で それ が 治り まし た の で 今 は 趣味 と いう より も もう できる だけ お 友達 に 会っ て お しゃべり し たり ご飯 食べ たり あとー よく 歩い て おり ます 
","['ええ \r\n', 'あっ \r\n', 'あっ \r\n', 'あ ウォーキング です ね \r\n']","['あっ \r\n', 'あっ \r\n', 'あっ \r\n', 'あっ \r\n']","[2.800101809446666e-232, 2.800101809446666e-232, 2.800101809446666e-232, 2.800101809446666e-232]"
"あんまり 来 て ほしく なかっ た と 
","['えー \r\n', 'あっはっはっはっ はっ \r\n', 'あっ ははは \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[8.709655468962324e-232, 8.709655468962324e-232, 8.709655468962324e-232]"
"あんまり 来 て ほしく なかっ た と いう 
",['えー \r\n'],['あー \r\n'],[0.0]
"あんまり 来 て ほしく なかっ た と いう 感じ が 
","['へー \r\n', 'えっ \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あんまり 来 て ほしく なかっ た と いう 感じ が あっ た ん です 
","['えっ そう な ん です か \r\n', 'あ そう です か \r\n', 'あ \r\n', 'えっ \r\n', 'そう な ん です か \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.2396286479558631e-231, 1.2396286479558631e-231, 1.2396286479558631e-231, 1.2396286479558631e-231, 1.2396286479558631e-231]"
"あんまり 来 て ほしく なかっ た と いう 感じ が あっ た ん です それ は 
","['そう な ん です か \r\n', 'えー どう し て です かー \r\n', 'あー \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[9.252497814421271e-232, 9.252497814421271e-232, 9.252497814421271e-232]"
"あんまり 来 て ほしく なかっ た と いう 感じ が あっ た ん です それ は なぜ か と 
","['そう な ん です ね \r\n', 'そう な ん です か \r\n', 'そう な ん です か \r\n', 'なん で \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.4755791359987403e-231, 1.4755791359987403e-231, 1.4755791359987403e-231, 1.4755791359987403e-231]"
"あんまり 来 て ほしく なかっ た と いう 感じ が あっ た ん です それ は なぜ か と いい ます と 
",['は いどう し て です か \r\n'],['あー そう な ん です か \r\n'],[1.1640469867513693e-231]
"あんまり 特に し たい こと って ない 弓道 だけ な ん で 
","['あははは \r\n', '弓道 だけ \r\n', 'はっ \r\n', 'はー \r\n', 'あっはっはっはっ はっ \r\n', 'ええ あー そう です か \r\n', '弓道 だけ な ん です \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[4.028859632912364e-232, 4.028859632912364e-232, 4.028859632912364e-232, 4.028859632912364e-232, 4.028859632912364e-232, 4.028859632912364e-232, 4.028859632912364e-232]"
"あんまり 特に し たい こと って ない 弓道 だけ な ん で あんまり ない ん だ けど 
","['うーん 何 か ね え ある と ねえ \r\n', 'ええ ほっほっ \r\n', 'はい そう な ん です か \r\n', 'はは \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[9.264192118972338e-232, 9.264192118972338e-232, 9.264192118972338e-232, 9.264192118972338e-232]"
"あー 
","['当然 の ごとく \r\n', 'それ が いい です \r\n', 'はい コツ が ある ん ある ん です ね \r\n', 'そう です よ \r\n', '経済 的 に も そう です ね \r\n', '反対 です よ ね \r\n', 'ん ふふ はい ええ \r\n', 'そう な ん です ね \r\n', 'そう な ん です ね ええ ええ \r\n', 'ええ 大丈夫 です よ はい 大 江戸 線 を 使っ て \r\n', 'あらっ あ は はい \r\n', 'うん うん 使っ て はい \r\n', 'お 世話 を さ れ て うーん \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231, 1.1951816280417979e-231]"
"あー いう の 見 てる の は 好き な ん で 
","['ええ あー そう な ん です ね \r\n', 'うーん あ \r\n', 'あー はい はい \r\n', 'あー なるほど \r\n', 'うーん \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[2.7685859176845322e-232, 2.7685859176845322e-232, 2.7685859176845322e-232, 2.7685859176845322e-232, 2.7685859176845322e-232]"
"あー こう いう 
",['そう な ん です ね \r\n'],['あー \r\n'],[0.0]
"あー こう いう 兵隊 さん に なれる か なー と 
","['あ そう な ん です か \r\n', 'あー はい はい \r\n', 'ああ ああ そう か \r\n', 'へえ \r\n', 'はぁー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.0570160726097549e-231, 1.0570160726097549e-231, 1.0570160726097549e-231, 1.0570160726097549e-231, 1.0570160726097549e-231]"
"あー この 年 な ん で ね なかなか 
",['すごい \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"あー この 年 な ん で ね なかなか 記憶 力 が 
","['いいえ もう 凄い \r\n', 'いやー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[6.091662401187849e-232, 6.091662401187849e-232]"
"あー この 年 な ん で ね なかなか 記憶 力 が 薄れ てる ん で 
","['うーん いえ いえ \r\n', 'いいえ \r\n', 'いやー 凄い です ね \r\n', 'まだまだ です よ \r\n', '少し ずつ \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.03058366342557e-231, 1.03058366342557e-231, 1.03058366342557e-231, 1.03058366342557e-231, 1.03058366342557e-231]"
"あー この 年 な ん で ね なかなか 記憶 力 が 薄れ てる ん で 昔 みたい に 
",['うーん \r\n'],['うーん \r\n'],[0.0]
"あー そう いっ た 
","['あー \r\n', 'そう な ん です か \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー そう いっ た 環境 な ん で 
","['ふーん \r\n', 'うーん \r\n', 'ああ \r\n']","['うーん \r\n', 'うーん \r\n', 'うーん \r\n']","[0.0, 0.0, 0.0]"
"あー そう いっ た 環境 な ん で 幼い 
","['へえ \r\n', 'あ \r\n']","['あ \r\n', 'あ \r\n']","[9.10915994722671e-232, 9.10915994722671e-232]"
"あー そう いっ た 環境 な ん で 幼い 孫 たち が 
",['うーん \r\n'],['はー \r\n'],[0.0]
"あー そう いっ た 環境 な ん で 幼い 孫 たち が まー ちょっと 
",['あー \r\n'],['あー \r\n'],[0.0]
"あー そう いっ た 環境 な ん で 幼い 孫 たち が まー ちょっと 心配 だっ た ん です が 
","['ええ そう です ね \r\n', 'そう です よ ね \r\n', 'そう な ん です ね ええ ええ \r\n', 'うーん \r\n', '大変 はい ええ \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[0.0, 0.0, 0.0, 0.0, 0.0]"
"あー そう です か そう 
","['は はっはっはっ \r\n', 'あはは \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.3013127195399178e-231, 1.3013127195399178e-231]"
"あー そこ で なん と また 
",['良かっ た です ね \r\n'],['あー \r\n'],[0.0]
"あー そこ で なん と また 準 優勝 し て 
","['へえ \r\n', '凄い \r\n', 'えー \r\n', 'うわー \r\n', 'えっ 凄い です ね \r\n', 'いやー \r\n', 'すごい です ねー \r\n', 'へえ \r\n', 'へえ \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232, 2.598192448906929e-232]"
"あー まー 
",['はー \r\n'],['あー \r\n'],[1.5319719891192393e-231]
"あー まー そー いう ま 良き 時代 と いう か 物 の 
","['あー \r\n', 'ああ \r\n', 'そう です ね \r\n', 'そう です ね \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[0.0, 0.0, 0.0, 0.0]"
"あー まー そー いう ま 良き 時代 と いう か 物 の ない 時代 で ござい まし た 
","['ええ そう だっ た ん です ね \r\n', 'うーん あー そう な ん です ね ー うーん \r\n', 'そう な ん です ねー \r\n', 'そう です ね \r\n', 'うん ほんと に いい 時代 です ね \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.1943826464512592e-231, 1.1943826464512592e-231, 1.1943826464512592e-231, 1.1943826464512592e-231, 1.1943826464512592e-231]"
"あー もう 
","['面白い 子 です ね \r\n', '可愛い です ねー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2751464390240073e-231, 1.2751464390240073e-231]"
"あー もう 天 に も 昇る 
",['うーん \r\n'],['うーん \r\n'],[0.0]
"あー もう 天 に も 昇る 嬉し さ でし た 
","['ほんと に そう です ね \r\n', 'そう だっ た ん です ね \r\n', 'あー そう です か \r\n', 'はあ \r\n', 'あー そう です ね わかり ます \r\n', 'うーん そう な ん です ね \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[1.0486384902103553e-231, 1.0486384902103553e-231, 1.0486384902103553e-231, 1.0486384902103553e-231, 1.0486384902103553e-231, 1.0486384902103553e-231]"
"あー もー 
","['あー そう な ん です か \r\n', 'あ \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.5691957064546364e-231, 1.5691957064546364e-231]"
"あー もー 本当 に 
",['好き な ん です ね \r\n'],['あー そう な ん です か \r\n'],[1.384292958842266e-231]
"あー もー 本当 に 日本 と は 
",['そう いう の \r\n'],['あー \r\n'],[0.0]
"あー やっぱ 海外 旅行 か なー 
","['あー はい \r\n', '海外 旅行 です か はい そー です ね \r\n', 'うーん です よ ね \r\n', 'はい 旅行 です か ね \r\n', 'あー はい はい \r\n', 'うーん そう です ね \r\n', 'いい です よ ね \r\n', 'うん うーん うーん いい です ね \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2909040013171024e-231, 1.2909040013171024e-231, 1.2909040013171024e-231, 1.2909040013171024e-231, 1.2909040013171024e-231, 1.2909040013171024e-231, 1.2909040013171024e-231, 1.2909040013171024e-231]"
"あー やら なく ちゃ なら ない の で 
","['うん うん うん そう です よ ね うん \r\n', 'ええ そう な ん です ね うーん \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.0942200546404552e-231, 1.0942200546404552e-231]"
"あー クラス に 入れ た 
","['あ 嬉しい です ね \r\n', 'あー \r\n', 'あー \r\n', 'へえ \r\n', 'あ \r\n', 'へー \r\n', 'へー \r\n', 'はー \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[4.1527840588541444e-232, 4.1527840588541444e-232, 4.1527840588541444e-232, 4.1527840588541444e-232, 4.1527840588541444e-232, 4.1527840588541444e-232, 4.1527840588541444e-232, 4.1527840588541444e-232]"
"あー クラス に 入れ た と 
","['そう だっ た ん です ね \r\n', 'すごい です ねー \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー クラス に 入れ た と いう 
","['わー \r\n', 'わっ \r\n', 'へー \r\n', 'そう です か \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[3.829929972798098e-232, 3.829929972798098e-232, 3.829929972798098e-232, 3.829929972798098e-232]"
"あー クラス に 入れ た と いう こと が 
","['凄い \r\n', '凄い \r\n', 'f あ 階級 が 上 に 上がっ た ん です か \r\n', '凄い はい \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[2.1276172782752645e-232, 2.1276172782752645e-232, 2.1276172782752645e-232, 2.1276172782752645e-232]"
"あー クラス に 入れ た と いう こと が 非常 に 
","['凄い \r\n', 'わー \r\n']","['うーん \r\n', 'うーん \r\n']","[4.6459399061088376e-232, 4.6459399061088376e-232]"
"あー 先生 って 
","['素敵 です ね \r\n', 'そう な ん です か うーん \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.3165338250754347e-231, 1.3165338250754347e-231]"
"あー 先生 って いう 仕事 職業 って いう の は 
",['うーん うーん \r\n'],['うーん \r\n'],[0.0]
"あー 先生 って いう 仕事 職業 って いう の は いい なー こう 
",['うーん \r\n'],['あー \r\n'],[0.0]
"あー 先生 って いう 仕事 職業 って いう の は いい なー こう やっ て 子供 たち と も 出会える し また 大切 な こと を 教える こと も 
",['そう です ね \r\n'],['あー そう な ん です ね \r\n'],[1.4488496539373276e-231]
"あー 先生 って いう 仕事 職業 って いう の は いい なー こう やっ て 子供 たち と も 出会える し また 大切 な こと を 教える こと も できる し 
","['そう です ねー \r\n', 'そう です \r\n', 'そう です よ ね \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.3115286122967602e-231, 1.3115286122967602e-231, 1.3115286122967602e-231]"
"あー 先生 って いう 仕事 職業 って いう の は いい なー こう やっ て 子供 たち と も 出会える し また 大切 な こと を 教える こと も できる し 大切 な 
","['うーん \r\n', 'そう です \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー 公園 みたい に なっ て ます けど 
","['はあ はい \r\n', 'はー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.4581324739807525e-231, 1.4581324739807525e-231]"
"あー 周り の 木 を 切っ たり まー 田舎育ち だ 
",['木 を 切っ たり \r\n'],['うーん \r\n'],[0.0]
"あー 周り の 木 を 切っ たり まー 田舎育ち だ もの でし た から 
",['いえ いえ \r\n'],['あー そう な ん です ね \r\n'],[1.384292958842266e-231]
"あー 広く 浅く た 
","['な ん です ね \r\n', 'うん いろいろ 楽しま れ て \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー 広く 浅く た しみ って 
","['広く 浅く \r\n', 'へえ \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー 広く 浅く た しみ って いう 
",['あー はい \r\n'],['あー \r\n'],[0.0]
"あー 広く 浅く た しみ って いう こと で ござい ます 色んな 
","['あー \r\n', 'うーん \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー 広く 浅く た しみ って いう こと で ござい ます 色んな 事 に 
",['い いい です よ で も 興味 が ある って こと は \r\n'],['あー \r\n'],[0.0]
"あー 広く 浅く た しみ って いう こと で ござい ます 色んな 事 に 興味 が 
","['です ね \r\n', 'ああ \r\n', 'で も だいじ \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.0101679982485763e-231, 1.0101679982485763e-231, 1.0101679982485763e-231]"
"あー 広く 浅く た しみ って いう こと で ござい ます 色んな 事 に 興味 が あっ て 
","['はい はい いい こと です よ ね \r\n', 'ええ いい です いい です \r\n', 'はあ いい こと です ね \r\n', 'はあ いい と 思い ます \r\n', '凄い \r\n', 'いい です ね で も ね うーん \r\n', 'です よ ねー \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[9.2489621201958e-232, 9.2489621201958e-232, 9.2489621201958e-232, 9.2489621201958e-232, 9.2489621201958e-232, 9.2489621201958e-232, 9.2489621201958e-232]"
"あー 新聞 紙 の 上 に 
",['新聞 紙 の 上 に \r\n'],['はー \r\n'],[0.0]
"あー 日本 名 で もっ て 
",['んー \r\n'],['あ \r\n'],[0.0]
"あー 段々 発達 を し て き て 
","['あー \r\n', 'へえ \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー 気分 よく 起き られ た なー って 
","['そう です ね \r\n', 'はい あー そう \r\n', 'うん うん はー \r\n', 'ああ \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[2.9101174668784233e-232, 2.9101174668784233e-232, 2.9101174668784233e-232, 2.9101174668784233e-232]"
"あー 気分 よく 起き られ た なー って いう の が 
","['あー そう です ね \r\n', 'そう です ね \r\n', '大事 な こと です よ ね \r\n', 'あ は あ そう です ね \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[2.5009220805720607e-232, 2.5009220805720607e-232, 2.5009220805720607e-232, 2.5009220805720607e-232]"
"あー 美容 師 です 
","['美容 師 \r\n', '美容 師 さん です か \r\n', 'うーん \r\n', 'あ はい \r\n', 'あ 美容 師 \r\n']","['はい はい はー \r\n', 'はい はい はー \r\n', 'はい はい はー \r\n', 'はい はい はー \r\n', 'はい はい はー \r\n']","[1.0077507174893465e-231, 1.0077507174893465e-231, 1.0077507174893465e-231, 1.0077507174893465e-231, 1.0077507174893465e-231]"
"あー 色 を 使う ん です ね 
","['はあ \r\n', 'あー \r\n', 'へえ \r\n', 'うーん \r\n', 'それ 知ら ない です \r\n', 'あ そう \r\n', '特殊 な 色 な ん です ね \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[1.9775613697746657e-232, 1.9775613697746657e-232, 1.9775613697746657e-232, 1.9775613697746657e-232, 1.9775613697746657e-232, 1.9775613697746657e-232, 1.9775613697746657e-232]"
"あー 血圧 が 高い ため に 
",['あ そう です か \r\n'],['あ そう な ん です ね \r\n'],[1.331960397810445e-231]
"あー 血圧 が 高い ため に 最近 は あー いっ きょく 約 一 時間 以内 で えー できる だけ 
",['い っ はい 一 局 うん \r\n'],['あー そう な ん です か \r\n'],[1.0003688322288243e-231]
"あー 血圧 が 高い ため に 最近 は あー いっ きょく 約 一 時間 以内 で えー できる だけ えー 無理 を し ない よう に 続け て おり ます 
","['はい はっ そう な ん です か \r\n', 'はい へえ \r\n', 'はい へー \r\n', 'ええ ええ あ そう な ん です か \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.3774366277524025e-231, 1.3774366277524025e-231, 1.3774366277524025e-231, 1.3774366277524025e-231]"
"あー 被っ て 
","['普段 は かぶら れ ない ん です ね 帽子 は \r\n', 'そー そー な ん です ねー お 帽子 かぶら れ た \r\n', 'あー ありがとう ござい ます \r\n', 'はい はい うん 暑い です もん ね \r\n', 'あー そう だっ た ん です ね \r\n', '暑 た さ 暑 暑い から です か ね \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n']","[9.938636952150266e-232, 9.938636952150266e-232, 9.938636952150266e-232, 9.938636952150266e-232, 9.938636952150266e-232, 9.938636952150266e-232]"
"あー 運動 部 と 
",['ヨット です か \r\n'],['はい はい \r\n'],[1.2183324802375697e-231]
"あー 運動 部 と し て の ヨット 
","['うん ヨット ね \r\n', 'うん ヨット \r\n', 'ええ ええ あ 運動 部 の \r\n', 'はい ヨット はい \r\n', 'ヨット はい \r\n']","['はー \r\n', 'はー \r\n', 'はー \r\n', 'はー \r\n', 'はー \r\n']","[0.0, 0.0, 0.0, 0.0, 0.0]"
"あー 非常 に 
","['あー \r\n', 'あははは \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[6.441148769597077e-232, 6.441148769597077e-232]"
"あー 非常 に 助かる 
","['あはは そう です か \r\n', 'なるほど そう です ね \r\n', 'ああ \r\n', 'です よ ねー \r\n', 'あ \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[3.44409944742008e-232, 3.44409944742008e-232, 3.44409944742008e-232, 3.44409944742008e-232, 3.44409944742008e-232]"
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 
",['ええ \r\n'],['あ \r\n'],[0.0]
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て 
","['はは \r\n', 'うーん \r\n']","['はー \r\n', 'はー \r\n']","[7.659859945596196e-232, 7.659859945596196e-232]"
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て そい で 
",['あっ \r\n'],['はー \r\n'],[0.0]
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て そい で 向こう側 に 
",['足 に 引っ掛ける ん です よ ね \r\n'],['あー \r\n'],[0.0]
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て そい で 向こう側 に 行け ば 
","['あ \r\n', 'うん うん \r\n']","['あー \r\n', 'あー \r\n']","[3.351072670927047e-232, 3.351072670927047e-232]"
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て そい で 向こう側 に 行け ば よし と 
","['そう です \r\n', 'あー \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て そい で 向こう側 に 行け ば よし と し た 
","['あー そう です かー \r\n', 'そう です \r\n', 'わかり ます うん うん \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2641878121801158e-231, 1.2641878121801158e-231, 1.2641878121801158e-231]"
"あー 飛び 方 じゃ なく て ゴム に かかっ て と それ で 飛ん じゃっ て そい で 向こう側 に 行け ば よし と し た あのー ゴム 飛び です ね 
","['うーん そう です よ ね \r\n', 'ゴム 跳び \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.2180640741834483e-231, 1.2180640741834483e-231]"
